x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0001.tif_Azm=_240.00
26.611,26.793
26.638,27.039
26.665,26.744
26.693,26.656
26.72,26.398
26.747,26.501
26.774,26.574
26.801,26.492
26.828,26.838
26.855,26.672
26.882,26.785
26.909,26.764
26.936,26.674
26.963,26.731
26.991,26.788
27.018,26.624
27.045,26.837
27.072,26.594
27.099,26.747
27.126,26.623
27.153,26.635
27.18,26.805
27.207,26.674
27.235,26.783
27.262,26.974
27.289,26.932
27.316,26.856
27.343,26.892
27.37,27.023
27.397,26.88
27.424,26.837
27.452,26.968
27.479,26.933
27.506,26.997
27.533,26.997
27.56,26.927
27.587,26.893
27.614,27.005
27.641,26.97
27.669,27.152
27.696,26.963
27.723,27.084
27.75,27.146
27.777,27.116
27.804,27.257
27.832,27.134
27.859,27.31
27.886,27.096
27.913,27.339
27.94,27.288
27.967,27.665
27.994,28.127
28.022,29.173
28.049,30.46
28.076,31.374
28.103,31.051
28.13,29.765
28.157,28.68
28.185,27.889
28.212,27.49
28.239,27.277
28.266,27.42
28.293,27.381
28.321,27.442
28.348,27.33
28.375,27.497
28.402,27.455
28.429,27.389
28.456,27.507
28.484,27.445
28.511,27.373
28.538,27.629
28.565,27.712
28.592,27.473
28.62,27.645
28.647,27.666
28.674,27.686
28.701,27.586
28.728,27.527
28.756,27.438
28.783,27.545
28.81,27.393
28.837,27.446
28.864,27.469
28.892,27.524
28.919,27.683
28.946,27.643
28.973,27.466
29.001,27.651
29.028,27.747
29.055,27.494
29.082,27.561
29.109,27.575
29.137,27.598
29.164,27.496
29.191,27.735
29.218,27.723
29.246,27.745
29.273,27.783
29.3,27.779
29.327,27.77
29.355,27.783
29.382,27.808
29.409,27.871
29.436,27.826
29.464,27.73
29.491,27.881
29.518,27.765
29.545,28.183
29.573,28.343
29.6,28.838
29.627,29.127
29.654,29.143
29.682,28.906
29.709,28.642
29.736,28.258
29.763,28.007
29.791,28.264
29.818,28.046
29.845,28.213
29.873,28.059
29.9,28.031
29.927,28.165
29.954,28.123
29.982,28.02
30.009,28.143
30.036,28.068
30.064,28.086
30.091,28.052
30.118,28.113
30.145,28.091
30.173,28.1
30.2,28.409
30.227,28.213
30.255,28.275
30.282,28.326
30.309,28.269
30.336,28.304
30.364,28.311
30.391,28.269
30.418,28.281
30.446,28.387
30.473,28.369
30.5,28.392
30.528,28.366
30.555,28.435
30.582,28.526
30.61,28.515
30.637,28.545
30.664,28.453
30.692,28.489
30.719,28.641
30.746,28.516
30.774,28.529
30.801,28.583
30.828,28.412
30.856,28.608
30.883,28.531
30.91,28.557
30.938,28.53
30.965,28.583
30.992,28.634
31.02,28.573
31.047,28.635
31.074,28.597
31.102,28.759
31.129,29.032
31.156,28.717
31.184,28.822
31.211,28.806
31.239,28.864
31.266,28.958
31.293,28.966
31.321,28.982
31.348,29.011
31.375,29.133
31.403,29.005
31.43,29
31.458,29.095
31.485,29.045
31.512,28.892
31.54,29.198
31.567,29.144
31.594,29.086
31.622,29.047
31.649,29.185
31.677,29.402
31.704,29.107
31.731,29.312
