x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0030.tif_Azm=_240.00
25.448,25.002
25.475,24.939
25.502,24.966
25.529,24.987
25.556,24.998
25.583,25.184
25.61,25.108
25.637,25.022
25.664,25.11
25.691,25.061
25.718,25.225
25.745,25.194
25.772,25.221
25.799,25.224
25.827,25.176
25.854,25.263
25.881,25.262
25.908,25.263
25.935,25.3
25.962,25.357
25.989,25.54
26.016,25.542
26.043,25.6
26.07,25.654
26.097,25.554
26.124,25.712
26.151,25.754
26.178,25.805
26.205,25.751
26.232,25.573
26.259,25.688
26.286,25.899
26.313,25.952
26.341,26.506
26.368,27.552
26.395,29.421
26.422,31.942
26.449,33.002
26.476,31.933
26.503,29.48
26.53,27.828
26.557,26.671
26.584,26.434
26.611,26.117
26.638,26.039
26.665,25.848
26.693,26.026
26.72,26.037
26.747,26.075
26.774,25.757
26.801,25.815
26.828,26.137
26.855,26.043
26.882,25.974
26.909,26.028
26.936,26.127
26.963,26.064
26.991,26.064
27.018,25.913
27.045,26.066
27.072,25.982
27.099,26.091
27.126,25.995
27.153,26.195
27.18,26.254
27.207,25.963
27.235,25.959
27.262,26.207
27.289,26.257
27.316,26.223
27.343,26.268
27.37,26.234
27.397,26.245
27.424,26.227
27.452,26.236
27.479,26.231
27.506,26.369
27.533,26.461
27.56,26.299
27.587,26.405
27.614,26.386
27.641,26.352
27.669,26.528
27.696,26.538
27.723,26.52
27.75,26.552
27.777,26.462
27.804,26.414
27.832,26.482
27.859,26.499
27.886,26.41
27.913,26.686
27.94,26.723
27.967,26.953
27.994,27.326
28.022,28.273
28.049,29.523
28.076,30.7
28.103,30.529
28.13,29.081
28.157,28.033
28.185,27.271
28.212,26.722
28.239,26.588
28.266,26.844
28.293,26.722
28.321,26.725
28.348,26.634
28.375,26.755
28.402,26.831
28.429,26.763
28.456,26.78
28.484,26.869
28.511,26.833
28.538,27.064
28.565,26.91
28.592,26.81
28.62,26.812
28.647,26.894
28.674,26.868
28.701,26.938
28.728,26.895
28.756,26.885
28.783,26.803
28.81,26.777
28.837,26.865
28.864,26.884
28.892,26.953
28.919,26.93
28.946,27.047
28.973,26.733
29.001,26.965
29.028,26.904
29.055,26.882
29.082,27.122
29.109,26.854
29.137,27.035
29.164,26.837
29.191,27.067
29.218,27.013
29.246,26.975
29.273,27.093
29.3,27.126
